Date,Active,severe,comorbid,ICU requirements,Ventilators required overall,Total,Hypertension
01/06/20,134,72,45,11,3,2,0
02/06/20,171,84,53,13,3,2,0
03/06/20,209,100,64,15,4,3,0
04/06/20,253,119,76,18,5,3,0
05/06/20,291,124,80,19,5,3,0
06/06/20,370,155,101,24,6,4,0
07/06/20,404,165,108,25,7,5,0
08/06/20,406,166,109,25,7,5,1
09/06/20,416,170,113,26,7,5,1
10/06/20,436,174,115,27,7,5,1
11/06/20,453,178,120,27,7,5,1
12/06/20,458,181,123,28,8,5,1
13/06/20,339,130,89,20,5,3,1
14/06/20,343,133,92,20,6,4,1
15/06/20,247,100,70,15,4,3,1
16/06/20,252,104,73,16,4,3,1
17/06/20,272,116,82,18,5,4,1
18/06/20,280,112,80,17,5,4,1
19/06/20,261,105,75,16,4,3,1
20/06/20,255,107,77,16,4,3,1
21/06/20,267,111,81,17,5,4,1
22/06/20,234,99,73,15,4,3,1
23/06/20,164,72,53,11,3,2,0
24/06/20,164,72,53,11,3,2,0
25/06/20,183,83,62,13,3,2,1
26/06/20,196,92,68,14,4,3,1
27/06/20,220,95,71,15,4,3,1
28/06/20,234,99,74,15,4,3,1
29/06/20,263,109,82,17,5,4,1
30/06/20,289,118,90,18,5,4,1
01/07/20,289,117,89,18,5,4,1
02/07/20,293,115,88,18,5,4,1
03/07/20,337,134,103,21,6,5,1
04/07/20,321,128,99,20,5,4,1
05/07/20,349,135,105,21,6,5,1
06/07/20,349,133,105,20,6,5,1
07/07/20,337,131,104,20,5,4,1
08/07/20,344,130,104,20,5,4,1
09/07/20,360,128,102,20,5,4,1
10/07/20,415,137,110,21,6,5,1
11/07/20,448,136,110,21,6,5,1
12/07/20,442,124,100,19,5,4,1
13/07/20,474,130,105,20,5,4,1
14/07/20,448,127,103,19,5,4,1
15/07/20,494,136,111,21,6,5,1
16/07/20,552,146,119,22,6,5,1
17/07/20,607,158,130,24,7,6,2
18/07/20,612,151,124,23,6,5,1
19/07/20,655,163,135,25,7,6,2
20/07/20,789,191,159,29,8,7,2
21/07/20,806,192,161,29,8,7,2
22/07/20,898,216,181,33,9,8,2
23/07/20,893,213,180,33,9,8,2
24/07/20,901,216,183,33,9,8,2
25/07/20,963,227,194,35,9,8,2
26/07/20,952,231,198,35,10,9,2
27/07/20,871,212,182,32,9,8,2
28/07/20,905,220,189,34,9,8,2
29/07/20,878,203,174,31,8,7,2
30/07/20,945,215,186,33,9,8,2
31/07/20,957,210,182,32,9,8,2
01/08/20,951,203,176,31,8,7,2
02/08/20,881,183,159,28,8,7,2
03/08/20,886,185,161,28,8,7,2
04/08/20,888,178,156,27,7,6,2
05/08/20,965,190,166,29,8,7,2
06/08/20,1009,195,171,30,8,7,2
07/08/20,1123,203,179,31,8,7,2
08/08/20,1240,214,189,33,9,8,2
09/08/20,1272,218,193,33,9,8,2
10/08/20,1294,218,193,33,9,8,2
