Date,Active,severe,comorbid,ICU requirements,Ventilators required overall,Total,Hypertension
01/06/20,631,337,212,52,14,9,0
02/06/20,675,333,211,51,14,9,0
03/06/20,722,344,220,53,14,9,0
04/06/20,755,356,229,55,15,10,0
05/06/20,802,343,222,53,14,9,0
06/06/20,840,351,229,54,15,10,0
07/06/20,860,351,231,54,15,10,0
08/06/20,885,361,237,55,15,10,3
09/06/20,908,370,245,57,15,10,3
10/06/20,926,368,244,56,15,10,3
11/06/20,960,378,254,58,16,11,3
12/06/20,1001,395,268,61,16,11,3
13/06/20,1028,394,271,60,16,11,3
14/06/20,1066,414,287,64,17,12,3
15/06/20,915,368,256,56,15,10,3
16/06/20,747,307,215,47,13,9,2
17/06/20,555,237,168,36,10,7,2
18/06/20,472,189,135,29,8,6,2
19/06/20,515,207,148,32,9,6,2
20/06/20,563,237,171,36,10,7,2
21/06/20,517,216,158,33,9,7,2
22/06/20,567,241,177,37,10,7,2
23/06/20,603,264,194,40,11,8,2
24/06/20,562,247,183,38,10,7,2
25/06/20,546,247,183,38,10,7,2
26/06/20,618,290,216,44,12,9,2
27/06/20,689,298,223,46,12,9,2
28/06/20,711,301,226,46,13,10,3
29/06/20,766,318,240,49,13,10,3
30/06/20,765,312,237,48,13,10,2
01/07/20,796,324,247,50,13,10,2
02/07/20,782,307,236,47,13,10,2
03/07/20,850,338,261,52,14,11,3
04/07/20,845,337,262,52,14,11,3
05/07/20,842,327,255,50,14,11,3
06/07/20,842,321,253,49,13,10,3
07/07/20,842,327,259,50,14,11,3
08/07/20,869,328,261,50,14,11,3
09/07/20,986,350,280,54,15,12,3
10/07/20,1047,345,277,53,14,11,3
11/07/20,1119,340,274,52,14,11,3
12/07/20,1146,321,259,49,13,10,3
13/07/20,1247,342,277,52,14,11,3
14/07/20,1257,355,288,54,15,12,3
15/07/20,1328,365,297,56,15,12,3
16/07/20,1455,384,314,59,16,13,3
17/07/20,1544,403,332,62,17,14,3
18/07/20,1459,359,296,55,15,12,3
19/07/20,1592,397,330,61,17,14,3
20/07/20,1642,398,332,61,17,14,3
21/07/20,1698,405,340,62,17,14,3
22/07/20,1790,431,362,66,18,15,3
23/07/20,1860,444,375,68,18,15,3
24/07/20,1866,447,379,68,19,16,3
25/07/20,1875,442,377,68,18,15,3
26/07/20,2011,488,418,75,20,17,3
27/07/20,1979,482,414,74,20,17,3
28/07/20,1896,460,396,70,19,16,3
29/07/20,1938,447,384,68,19,16,3
30/07/20,1956,446,385,68,19,16,3
31/07/20,1887,414,358,63,17,15,3
01/08/20,1968,421,365,64,18,16,3
02/08/20,1964,407,354,62,17,15,3
03/08/20,1968,411,358,63,17,15,3
04/08/20,2017,405,354,62,17,15,3
05/08/20,2072,408,357,62,17,15,3
06/08/20,2051,396,348,61,16,14,3
07/08/20,2138,386,340,59,16,14,3
08/08/20,2196,379,334,58,16,14,3
09/08/20,2131,365,323,56,15,13,3
10/08/20,2067,348,308,53,14,12,3
