Date,Active,severe,comorbid,ICU requirements,Ventilators required overall,Total,Hypertension
01/06/20,12,6,4,1,0,0,0
02/06/20,24,12,8,2,0,0,0
03/06/20,26,12,8,2,0,0,0
04/06/20,41,19,12,3,1,1,0
05/06/20,54,23,15,4,1,1,0
06/06/20,64,27,18,4,1,1,0
07/06/20,147,60,39,9,2,1,0
08/06/20,138,56,37,9,2,1,0
09/06/20,128,52,34,8,2,1,0
10/06/20,146,58,38,9,2,1,0
11/06/20,152,60,40,9,2,1,0
12/06/20,182,72,49,11,3,2,0
13/06/20,229,88,60,13,4,3,1
14/06/20,223,87,60,13,4,3,1
15/06/20,227,91,63,14,4,3,1
16/06/20,133,55,39,8,2,1,0
17/06/20,114,49,35,8,2,1,0
18/06/20,108,43,31,7,2,1,0
19/06/20,101,41,29,6,2,1,0
20/06/20,57,24,17,4,1,1,0
21/06/20,58,24,18,4,1,1,0
22/06/20,63,27,20,4,1,1,0
23/06/20,44,19,14,3,1,1,0
24/06/20,39,17,13,3,1,1,0
25/06/20,44,20,15,3,1,1,0
26/06/20,45,21,16,3,1,1,0
27/06/20,46,20,15,3,1,1,0
28/06/20,42,18,14,3,1,1,0
29/06/20,44,18,14,3,1,1,0
30/06/20,51,21,16,3,1,1,0
01/07/20,53,22,17,3,1,1,0
02/07/20,48,19,15,3,1,1,0
03/07/20,52,21,16,3,1,1,0
04/07/20,53,21,16,3,1,1,0
05/07/20,56,22,17,3,1,1,0
06/07/20,67,26,20,4,1,1,0
07/07/20,66,26,21,4,1,1,0
08/07/20,64,24,19,4,1,1,0
09/07/20,66,23,18,4,1,1,0
10/07/20,71,23,18,4,1,1,0
11/07/20,90,27,22,4,1,1,0
12/07/20,92,26,21,4,1,1,0
13/07/20,106,29,23,4,1,1,0
14/07/20,159,45,36,7,2,2,0
15/07/20,175,48,39,7,2,2,0
16/07/20,186,49,40,8,2,2,0
17/07/20,206,54,44,8,2,2,0
18/07/20,240,59,48,9,2,2,0
19/07/20,270,67,55,10,3,2,0
20/07/20,316,76,63,12,3,2,0
21/07/20,313,75,63,11,3,3,1
22/07/20,278,67,56,10,3,3,1
23/07/20,258,62,52,9,3,3,1
24/07/20,298,71,60,11,3,3,1
25/07/20,304,72,62,11,3,3,1
26/07/20,283,69,59,11,3,3,1
27/07/20,275,67,58,10,3,3,1
28/07/20,267,65,56,10,3,3,1
29/07/20,259,60,51,9,2,2,0
30/07/20,316,72,62,11,3,3,1
31/07/20,300,66,57,10,3,3,1
01/08/20,289,62,54,9,3,3,1
02/08/20,293,61,53,9,3,3,1
03/08/20,301,63,55,10,3,3,1
04/08/20,302,61,53,9,3,3,1
05/08/20,294,58,51,9,2,2,0
06/08/20,257,50,44,8,2,2,0
07/08/20,272,49,43,8,2,2,0
08/08/20,259,45,40,7,2,2,0
09/08/20,337,58,51,9,2,2,0
10/08/20,344,58,51,9,2,2,0
